id,title,artist_title,classification_titles
273081,The Academy of Baccio Bandinelli,Enea Vico,prints and drawing;paper;engraving;print
35326,Headdress with Rows of Dangling Ovals,Chimú,metal;ceremonial object;art of the americas;costume
214080,"Untitled, Paris, March 1937",Charles Joseph Biederman,oil on canvas;painting
189595,Pair of Headdresses (Tyi Wara Kunw),Bamana,headdress - misc;plant fiber;wood;arts of Africa;african art;sculpture
152739,Mask for Egungun (Ere Egungun),Yoruba,masks;wood;arts of Africa;african art;ceremonial mask;headdress - misc
229886,Woman's Hat (Isicholo),Northern Nguni,hat;human hair;cloth;string;arts of Africa;african art;costume
186622,Cup,Wongo,drinking vessel;wood;arts of Africa;african art;vessel
140597,Reclined-Back Chair,Ngombe,wood;arts of Africa;furniture;african art
96727,Cup,Kuba,drinking vessel;arts of Africa;vessel;african art
86816,Standing Female Figure,Lega,wood;arts of Africa;ceremonial object;sculpture;african art
86441,Portrait of a Man,Flemish,painting;flemish;oil on panel;oil paintings (visual works);paint;european painting
73801,Male Figure,Mbole,wood;arts of Africa;sculpture;african art
274190,Face Mask (Mbuya jia Mukhetu: Nganga Ngombo?),Pende,masks
88693,Headrest (Musawu),Yaka,furniture;wood;arts of Africa;sculpture;african art
65857,"On ""That"" Street",Charles Demuth,watercolor;drawings (visual works);prints and drawing
49658,Carpet,Islamic,textile;weaving - carpet
20579,Hercules and the Lernaean Hydra,Gustave Moreau,oil on canvas;paint;oil paintings (visual works);french;painting;european painting
270002,"Interior. The Music Room, Strandgade 30",Vilhelm Hammershøi,painting;european painting;oil;oil on canvas;paint;oil paintings (visual works)
278670,A September Passage,Sylvia Plimack Mangold,painting
243927,November 1978,Sylvia Plimack Mangold,painting
237877,Study for Hallway,Sylvia Plimack Mangold,graphite;prints and drawing;paper
236657,Ruler Workbook,Sylvia Plimack Mangold,pen and ink drawings;prints and drawing;paper
158606,Work in Progress,Sylvia Plimack Mangold,graphite;drawings (visual works);prints and drawing
180235,"Heirs Come to Pass, 3",Martina A. Lopez,photograph;photography
270955,The Big Change,H. C. Westermann,sculpture
184061,"Dried Leaves Falling series, #3",Esther Parada,photograph;photography
276824,Not Straight Lines in Four Directions and All Their Combinations,Sol LeWitt,prints and drawing;paper;pen and ink drawings;drawing
180304,"Charles A. Dana Cancer Center, Boston, Massachusetts, Working Drawings",Bertrand Goldberg,architectural drawing
25900,Helmet Mask (Mambu),Grasslands,masks;wood;arts of Africa;african art;ceremonial mask
36257,Untitled,Ron Cooper,painting;modern and contemporary art
198369,Untitled,John Angus Chamberlain,sculpture
20578,Mask (Mukudj),Ashiru,masks;wood;arts of Africa;african art;ceremonial mask;headdress - misc
185854,Female Face Mask,Bamana,masks;wood;arts of Africa;african art;ceremonial mask;headdress - misc;masquerade
37773,Elephant Mask (Vi),Guro,masks;wood;arts of Africa;african art;ceremonial mask;headdress - misc
273625,Woman's Belt (Ligobi),Nkundo,fiber;costume;arts of Africa;african art
8027,Half Figure (Nlo Byeri),Fang,sculpture;wood;arts of Africa;funerary;african art
213609,Chief's Hat,Pende,hat;plant fiber;bead;glass;arts of Africa;african art;costume
273619,Mask (Bakorogi),Kpelle,masks
49928,Portrait of the Brothers Konrad and Franz Eberhard,Johann Anton Alban Ramboux,lithograph;print;prints and drawing
885,A Mounted Officer,Jean Baptiste Édouard Detaille,painting;france;french;oil on canvas;oil paintings (visual works);paint;european painting
